seed,corridor_radius,deflection,success_rate,death_rate,temporal_jitter,mean_arrival,first_death_step
17,13,0.1,0.5714285714285714,0.42857142857142855,0.016861784580910002,396.85,110.0
18,13,0.1,0.4142857142857143,0.5857142857142857,0.043336206377594944,408.1034482758621,110.0
19,13,0.1,0.4714285714285714,0.5285714285714286,0.02045755019352755,396.75757575757575,111.0
0,13,0.2,0.7142857142857143,0.2857142857142857,0.024352792736400636,399.68,35.0
1,13,0.2,0.6285714285714286,0.37142857142857144,0.06176876621720213,415.3863636363636,49.0
2,13,0.2,0.5857142857142857,0.4142857142857143,0.052396697929387476,412.9268292682927,109.0
3,13,0.2,0.6,0.4,0.03057195197940971,409.3333333333333,101.0
4,13,0.2,0.6142857142857143,0.38571428571428573,0.03627662992391955,408.9767441860465,36.0
5,13,0.2,0.7428571428571429,0.2571428571428571,0.04365161468211181,412.53846153846155,103.0
6,13,0.2,0.6571428571428571,0.34285714285714286,0.03672674490855417,414.2173913043478,100.0
7,13,0.2,0.7,0.3,0.04285532446695703,407.85714285714283,37.0
8,13,0.2,0.6714285714285714,0.32857142857142857,0.029455589938901735,402.0,47.0
9,13,0.2,0.6571428571428571,0.34285714285714286,0.07667227433769021,419.9347826086956,35.0
10,13,0.2,0.6571428571428571,0.34285714285714286,0.042599988548133544,416.17391304347825,113.0
11,13,0.2,0.6142857142857143,0.38571428571428573,0.03472628551452865,415.7674418604651,112.0
12,13,0.2,0.6714285714285714,0.32857142857142857,0.0453355332728607,408.9574468085106,99.0
13,13,0.2,0.6857142857142857,0.3142857142857143,0.06376502604993999,421.8333333333333,111.0
14,13,0.2,0.6857142857142857,0.3142857142857143,0.04503930091217795,406.9583333333333,102.0
15,13,0.2,0.5857142857142857,0.4142857142857143,0.0691877796121362,417.5365853658537,112.0
16,13,0.2,0.6428571428571429,0.35714285714285715,0.07354304273379678,419.73333333333335,112.0
17,13,0.2,0.8142857142857143,0.18571428571428572,0.038083409105577,407.6140350877193,110.0
18,13,0.2,0.5571428571428572,0.44285714285714284,0.030856287182668786,397.35897435897436,110.0
19,13,0.2,0.7285714285714285,0.2714285714285714,0.029201973092572116,402.47058823529414,111.0
0,13,0.3,0.6571428571428571,0.34285714285714286,0.05841722162398132,421.32608695652175,35.0
1,13,0.3,0.7285714285714285,0.2714285714285714,0.05634917655502344,423.11764705882354,49.0
2,13,0.3,0.7428571428571429,0.2571428571428571,0.05459103247971251,410.75,109.0
3,13,0.3,0.7571428571428571,0.24285714285714285,0.0477683279735058,419.7358490566038,101.0
4,13,0.3,0.7142857142857143,0.2857142857142857,0.042203384818685685,418.82,36.0
5,13,0.3,0.7428571428571429,0.2571428571428571,0.07323791937766508,426.03846153846155,103.0
6,13,0.3,0.7714285714285715,0.22857142857142856,0.037689353499569034,413.75925925925924,100.0
7,13,0.3,0.7428571428571429,0.2571428571428571,0.06299365363184112,427.1730769230769,37.0
8,13,0.3,0.6857142857142857,0.3142857142857143,0.0536294412595787,438.25,47.0
9,13,0.3,0.7285714285714285,0.2714285714285714,0.07340793983049186,423.4313725490196,35.0
10,13,0.3,0.7285714285714285,0.2714285714285714,0.06504341572005352,436.70588235294116,113.0
11,13,0.3,0.7714285714285715,0.22857142857142856,0.06987594517708708,429.8333333333333,112.0
12,13,0.3,0.6571428571428571,0.34285714285714286,0.06023978046387095,432.5869565217391,99.0
13,13,0.3,0.7285714285714285,0.2714285714285714,0.07580924484227707,447.01960784313724,111.0
14,13,0.3,0.7142857142857143,0.2857142857142857,0.052487497928157545,420.18,102.0
15,13,0.3,0.7857142857142857,0.21428571428571427,0.0593349787613399,424.45454545454544,112.0
16,13,0.3,0.7571428571428571,0.24285714285714285,0.07145112973578135,432.3207547169811,112.0
17,13,0.3,0.7142857142857143,0.2857142857142857,0.06934471560969287,441.7,110.0
18,13,0.3,0.7428571428571429,0.2571428571428571,0.06335919104624668,429.46153846153845,110.0
19,13,0.3,0.7428571428571429,0.2571428571428571,0.0317049888532279,413.5769230769231,111.0
0,13,0.4,0.7142857142857143,0.2857142857142857,0.1121831428351625,463.7,35.0
1,13,0.4,0.6857142857142857,0.3142857142857143,0.1052016148642178,469.5833333333333,49.0
2,13,0.4,0.7285714285714285,0.2714285714285714,0.07738488531219608,443.88235294117646,109.0
3,13,0.4,0.8,0.2,0.030756842494314696,430.3392857142857,101.0
4,13,0.4,0.7714285714285715,0.22857142857142856,0.0758908949452561,435.7037037037037,36.0
5,13,0.4,0.8142857142857143,0.18571428571428572,0.0718187496251123,425.5438596491228,103.0
6,13,0.4,0.7714285714285715,0.22857142857142856,0.10550249755010338,454.77777777777777,100.0
7,13,0.4,0.7142857142857143,0.2857142857142857,0.11020166691533116,473.58,37.0
8,13,0.4,0.8142857142857143,0.18571428571428572,0.038110293815193395,434.280701754386,47.0
9,13,0.4,0.8285714285714286,0.17142857142857143,0.03710761604247117,422.8448275862069,35.0
10,13,0.4,0.8,0.2,0.12762814357602867,479.2857142857143,113.0
11,13,0.4,0.7714285714285715,0.22857142857142856,0.06186530259685426,428.64814814814815,112.0
12,13,0.4,0.7428571428571429,0.2571428571428571,0.07914117066605776,436.5,99.0
13,13,0.4,0.8,0.2,0.07088020357711627,434.98214285714283,111.0
14,13,0.4,0.8285714285714286,0.17142857142857143,0.08528383331058298,455.44827586206895,102.0
15,13,0.4,0.7142857142857143,0.2857142857142857,0.12610156795331573,496.62,112.0
16,13,0.4,0.7857142857142857,0.21428571428571427,0.07971395175228274,437.4727272727273,112.0
17,13,0.4,0.8571428571428571,0.14285714285714285,0.0587695268225752,439.43333333333334,110.0
18,13,0.4,0.7714285714285715,0.22857142857142856,0.11844555933839902,476.18518518518516,110.0
19,13,0.4,0.7285714285714285,0.2714285714285714,0.04632431390075829,425.15686274509807,111.0
0,13,0.5,0.7285714285714285,0.2714285714285714,0.10243924619073692,455.6666666666667,35.0
1,13,0.5,0.6857142857142857,0.3142857142857143,0.07611060144720037,444.1041666666667,49.0
2,13,0.5,0.7,0.3,0.11190007554469988,455.3673469387755,109.0
3,13,0.5,0.7428571428571429,0.2571428571428571,0.08081335931634111,484.2692307692308,101.0
4,13,0.5,0.7857142857142857,0.21428571428571427,0.05039553703858325,435.6909090909091,36.0
5,13,0.5,0.8428571428571429,0.15714285714285714,0.0956918700962106,450.9830508474576,103.0
6,13,0.5,0.7428571428571429,0.2571428571428571,0.09683340988526483,445.09615384615387,100.0
7,13,0.5,0.8,0.2,0.12121948404181204,462.1607142857143,37.0
8,13,0.5,0.7571428571428571,0.24285714285714285,0.08830781277303905,473.1132075471698,47.0
9,13,0.5,0.7,0.3,0.09045855139015577,483.83673469387753,35.0
10,13,0.5,0.7285714285714285,0.2714285714285714,0.0929875165580398,459.72549019607845,113.0
11,13,0.5,0.8,0.2,0.10532037128694817,452.60714285714283,112.0
12,13,0.5,0.7428571428571429,0.2571428571428571,0.1012277193877535,436.0576923076923,99.0
13,13,0.5,0.7857142857142857,0.21428571428571427,0.08205410683201887,445.8181818181818,111.0
14,13,0.5,0.7714285714285715,0.22857142857142856,0.098691838645853,463.962962962963,102.0
15,13,0.5,0.8428571428571429,0.15714285714285714,0.1210365746620296,467.20338983050846,112.0
16,13,0.5,0.8,0.2,0.10980064906446166,466.39285714285717,112.0
17,13,0.5,0.8285714285714286,0.17142857142857143,0.1019506607211189,471.9310344827586,110.0
18,13,0.5,0.7285714285714285,0.2714285714285714,0.09538768267140571,445.8627450980392,110.0
19,13,0.5,0.7571428571428571,0.24285714285714285,0.10015867239863546,453.22641509433964,111.0
0,11,0.1,0.45714285714285713,0.5428571428571428,0.018560179035026717,409.0,98.0
1,11,0.1,0.4142857142857143,0.5857142857142857,0.03173509889226908,418.2758620689655,65.0
2,11,0.1,0.42857142857142855,0.5714285714285714,0.017273277350106794,418.1,100.0
3,11,0.1,0.45714285714285713,0.5428571428571428,0.026491746109763525,414.875,96.0
